Date,Open*,High,Low,Close**,Volume,Market Cap
"Dec 04, 2017",0.252919,0.255362,0.24716,0.253571,104650000,9768480000
"Dec 03, 2017",0.25553,0.263072,0.247391,0.252558,134710000,9869310000
"Dec 02, 2017",0.255656,0.259218,0.250756,0.255492,118250000,9874190000
"Dec 01, 2017",0.250352,0.258828,0.239438,0.255699,182992000,9669290000
"Nov 30, 2017",0.246433,0.261524,0.229586,0.250878,270907000,9517940000
"Nov 29, 2017",0.297867,0.297867,0.239409,0.243064,541178000,11504500000
"Nov 28, 2017",0.254037,0.301084,0.253415,0.299152,720743000,9811650000
"Nov 27, 2017",0.248305,0.254733,0.247861,0.253927,196735000,9590240000
"Nov 26, 2017",0.252914,0.252914,0.248589,0.248818,133297000,9768270000
"Nov 25, 2017",0.244178,0.2557,0.243584,0.252393,212593000,9430850000
"Nov 24, 2017",0.242851,0.245388,0.238421,0.244642,211486000,9379600000
"Nov 23, 2017",0.238991,0.250096,0.237304,0.242402,240685000,9230520000
"Nov 22, 2017",0.232642,0.240848,0.232317,0.238859,167078000,8985300000
"Nov 21, 2017",0.237978,0.240974,0.2272,0.233271,217851000,9191390000
"Nov 20, 2017",0.231336,0.24343,0.230917,0.238759,214663000,8934850000
"Nov 19, 2017",0.22814,0.236231,0.226037,0.231016,193808000,8811410000
"Nov 18, 2017",0.226547,0.230399,0.222399,0.228627,144298000,8749900000
"Nov 17, 2017",0.224768,0.239409,0.220273,0.226581,397071000,8681190000
"Nov 16, 2017",0.212655,0.27179,0.209287,0.227107,1022580000,8213360000
"Nov 15, 2017",0.208937,0.213105,0.208058,0.212956,100294000,8069730000
"Nov 14, 2017",0.203679,0.213693,0.203679,0.209825,127361000,7866670000
"Nov 13, 2017",0.197472,0.204081,0.197456,0.203442,132567000,7608890000
"Nov 12, 2017",0.210214,0.210214,0.195389,0.197339,251175000,8099860000
"Nov 11, 2017",0.205948,0.214456,0.205459,0.21043,134503000,7935490000
"Nov 10, 2017",0.218256,0.219068,0.20526,0.206483,141033000,8409740000
"Nov 09, 2017",0.217911,0.221791,0.214866,0.217488,147917000,8396440000
"Nov 08, 2017",0.210675,0.221458,0.20806,0.217437,156959000,8117620000
"Nov 07, 2017",0.205103,0.211375,0.203978,0.210354,114073000,7902920000
"Nov 06, 2017",0.201967,0.208662,0.20141,0.20599,102233000,7782080000
"Nov 05, 2017",0.203274,0.205124,0.201117,0.202055,46959000,7832450000
"Nov 04, 2017",0.208083,0.208479,0.202133,0.20375,74013200,8017770000
"Nov 03, 2017",0.206205,0.228026,0.201728,0.208133,373402000,7945410000
"Nov 02, 2017",0.194596,0.211848,0.183815,0.205861,197770000,7498090000
"Nov 01, 2017",0.200247,0.201501,0.193613,0.194124,67921000,7715840000
"Oct 31, 2017",0.202405,0.203778,0.200461,0.200558,43875700,7798990000
"Oct 30, 2017",0.203076,0.204135,0.201946,0.202711,34835100,7824820000
"Oct 29, 2017",0.201358,0.205209,0.200075,0.202785,62511100,7758640000
"Oct 28, 2017",0.202592,0.203476,0.201401,0.201835,26864900,7806200000
"Oct 27, 2017",0.203668,0.204492,0.201771,0.202785,29623000,7847650000
"Oct 26, 2017",0.204444,0.206289,0.20266,0.203628,38193100,7877530000
"Oct 25, 2017",0.207113,0.208237,0.201803,0.204604,75017500,7980370000
"Oct 24, 2017",0.195567,0.217508,0.190455,0.206644,220081000,7535480000
"Oct 23, 2017",0.203504,0.203919,0.190729,0.196928,99914800,7841330000
"Oct 22, 2017",0.210958,0.211901,0.200722,0.204177,75849500,8128520000
"Oct 21, 2017",0.210189,0.212381,0.200774,0.211016,116807000,8098920000
"Oct 20, 2017",0.215086,0.223822,0.208754,0.210549,182704000,8287600000
"Oct 19, 2017",0.218229,0.23179,0.208317,0.21515,304542000,8408710000
"Oct 18, 2017",0.231216,0.23815,0.207265,0.21852,354225000,8909100000
"Oct 17, 2017",0.256098,0.263147,0.222939,0.232064,411265000,9867860000
"Oct 16, 2017",0.263386,0.291359,0.24901,0.256232,963158000,10148700000
"Oct 15, 2017",0.257537,0.268419,0.249048,0.263983,280211000,9923310000
"Oct 14, 2017",0.26115,0.267721,0.25732,0.25732,211160000,10062500000
"Oct 13, 2017",0.248285,0.26425,0.238867,0.260489,398689000,9583920000
"Oct 12, 2017",0.265046,0.267468,0.248414,0.248414,245004000,10230900000
"Oct 11, 2017",0.260658,0.267843,0.25908,0.264439,161206000,10061500000
"Oct 10, 2017",0.252825,0.26656,0.241193,0.260733,384049000,9758310000
"Oct 09, 2017",0.278758,0.278758,0.24043,0.251825,610110000,10759300000
"Oct 08, 2017",0.238312,0.279944,0.237532,0.279944,529838000,9198180000
"Oct 07, 2017",0.233963,0.239336,0.233478,0.23861,77950200,9030320000
"Oct 06, 2017",0.237726,0.242424,0.233533,0.234039,167492000,9115310000
"Oct 05, 2017",0.215583,0.241023,0.215583,0.237016,404299000,8266280000
"Oct 04, 2017",0.203218,0.217024,0.202647,0.214774,123573000,7792170000
"Oct 03, 2017",0.203209,0.204808,0.19873,0.203318,48703100,7791820000
"Oct 02, 2017",0.206077,0.206556,0.199444,0.202676,77412300,7901790000
"Oct 01, 2017",0.197622,0.207185,0.19617,0.206532,51345500,7577590000
"Sep 30, 2017",0.193824,0.199826,0.193497,0.197529,54729300,7431970000
"Sep 29, 2017",0.196105,0.196203,0.187172,0.193606,72291200,7519420000
"Sep 28, 2017",0.202532,0.203271,0.191344,0.196131,117962000,7765860000
"Sep 27, 2017",0.185297,0.207687,0.185098,0.203299,249934000,7105010000
"Sep 26, 2017",0.181968,0.191247,0.180085,0.186119,70000700,6977340000
"Sep 25, 2017",0.175519,0.183665,0.174939,0.181487,35622600,6730080000
"Sep 24, 2017",0.178175,0.178939,0.174165,0.175787,20566500,6831900000
"Sep 23, 2017",0.173371,0.178672,0.171527,0.177882,32476700,6647700000
"Sep 22, 2017",0.171567,0.17587,0.169291,0.17351,37244700,6578530000
"Sep 21, 2017",0.180981,0.182109,0.171148,0.171754,43583200,6939500000
"Sep 20, 2017",0.18371,0.186229,0.180333,0.182078,34521600,7044160000
"Sep 19, 2017",0.189819,0.19068,0.181334,0.184041,54046100,7278390000
"Sep 18, 2017",0.178309,0.190019,0.178309,0.189768,88397900,6837060000
"Sep 17, 2017",0.178377,0.181121,0.171017,0.178393,49161100,6839640000
"Sep 16, 2017",0.181925,0.187417,0.172279,0.179082,84495200,6975690000
